NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,0,1.02,0.07,1.09
0.44,0.46,0.01,0.18,1.09
0.61,0.38,0,0.1,1.09
1.02,0,0,0.07,1.09
0.82,0.17,0.01,0.09,1.09
0.6,0.41,0,0.07,1.09
0.53,0.41,0,0.14,1.08
0.53,0.41,0,0.14,1.08
0.63,0.35,0,0.1,1.08
0.75,0.18,0,0.16,1.08
0.53,0.41,0,0.14,1.08
0.01,0.97,0,0.1,1.08
0.29,0.51,0.08,0.2,1.08
0.64,0.28,0.04,0.13,1.08
0.51,0.4,0,0.16,1.08
1.01,0.06,0,0.01,1.08
0.64,0.34,0,0.1,1.08
0.37,0.3,0.28,0.13,1.08
0.42,0.58,0,0.08,1.08
0.64,0.34,0,0.1,1.08
0.6,0.41,0,0.07,1.08
0.43,0.4,0,0.24,1.08
0.77,0.29,0,0.02,1.08
0.77,0.29,0,0.02,1.08
0.68,0.18,0.19,0.03,1.08
0.51,0.47,0,0.09,1.08
0.24,0.54,0,0.3,1.07
0,0,1,0.07,1.07
0.96,0.03,0,0.08,1.07
0.89,0.03,0,0.15,1.07
0.26,0.69,0,0.12,1.07
0.65,0.32,0,0.1,1.07
0.47,0.4,0.03,0.17,1.07
0,0.98,0,0.09,1.07
0.17,0.12,0.77,0.02,1.07
0.53,0.01,0,0.54,1.07
0.86,0.12,0,0.09,1.07
0.79,0.18,0.03,0.07,1.07
0.53,0.42,0.01,0.11,1.07
0.59,0.4,0,0.07,1.07
0.08,0.9,0.04,0.05,1.07
0.74,0.15,0.13,0.05,1.07
0.6,0.36,0,0.11,1.07
0.54,0.42,0,0.11,1.07
0.17,0.12,0.71,0.07,1.07
0.1,0.63,0,0.34,1.07
0.49,0.34,0.09,0.15,1.07
0.57,0.38,0.02,0.1,1.07
0.31,0.2,0.45,0.11,1.07
0.59,0.4,0,0.07,1.07
0.59,0.4,0,0.07,1.06
0.88,0.04,0,0.14,1.06
0.52,0.41,0,0.14,1.06
0.28,0.49,0.03,0.27,1.06
0.66,0.3,0,0.1,1.06
0.28,0.58,0,0.21,1.06
0,0,0.99,0.07,1.06
0.56,0.39,0,0.11,1.06
0.53,0.4,0.03,0.11,1.06
0.52,0.41,0,0.14,1.06
0.18,0.81,0,0.08,1.06
0.52,0.41,0,0.14,1.06
0.63,0.33,0,0.1,1.06
1.01,0.05,0,0.01,1.06
1.02,0.04,0,0.01,1.06
0.55,0.4,0,0.11,1.06
0.36,0.49,0,0.2,1.06
1.03,0.02,0,0,1.06
0.43,0.46,0.09,0.09,1.06
0.76,0.28,0,0.02,1.06
0.52,0.4,0,0.14,1.06
0.67,0.28,0.01,0.1,1.06
0.65,0.3,0.01,0.1,1.06
0.61,0.35,0,0.09,1.06
0.49,0.39,0,0.17,1.06
0.27,0.57,0.01,0.2,1.06
0.28,0.65,0,0.13,1.05
0.16,0.66,0,0.23,1.05
0.95,0.01,0.01,0.08,1.05
0.99,0.05,0,0.01,1.05
0.46,0.31,0.2,0.09,1.05
0.81,0.11,0,0.13,1.05
0.99,0.05,0,0.01,1.05
0.97,0.01,0,0.07,1.05
0,0,0.92,0.13,1.05
0,0,1.05,0,1.05
0,0,1.04,0.01,1.05
0,0,1.05,0,1.05
0.51,0.4,0,0.13,1.05
0.37,0.49,0,0.19,1.05
0.78,0.26,0,0.01,1.05
0.91,0.11,0,0.03,1.05
0.46,0.41,0.01,0.17,1.05
0.52,0.51,0,0.02,1.05
0.23,0.58,0.03,0.21,1.05
0.19,0.13,0.66,0.07,1.05
0.51,0.4,0,0.13,1.04
0.45,0.48,0,0.11,1.04
0.58,0.4,0,0.07,1.04
0.56,0.37,0.01,0.1,1.04
0.09,0.06,0.83,0.07,1.04
0.31,0.49,0.05,0.19,1.04
0.58,0.39,0,0.07,1.04
0.45,0.3,0.22,0.07,1.04
0.44,0.12,0.45,0.03,1.04
0.87,0.03,0,0.14,1.04
0.41,0.46,0,0.18,1.04
0.5,0.2,0.31,0.03,1.04
0.91,0.1,0,0.03,1.04
0.39,0.16,0.37,0.12,1.04
0.44,0.48,0,0.11,1.04
0.43,0.5,0,0.11,1.04
0.53,0.46,0,0.05,1.04
0.54,0.39,0,0.11,1.03
0.12,0.63,0.05,0.23,1.03
0.59,0.35,0.01,0.09,1.03
0.86,0.03,0,0.14,1.03
0.47,0.34,0,0.23,1.03
0.55,0.32,0.03,0.13,1.03
0.54,0.39,0,0.09,1.03
0.34,0.48,0.02,0.19,1.03
0.7,0.05,0.21,0.07,1.03
0.46,0.47,0,0.11,1.03
0.5,0.39,0,0.13,1.03
0.68,0.31,0,0.04,1.03
0.18,0,0.85,0,1.03
0.56,0.3,0.08,0.09,1.03
0.44,0.42,0,0.17,1.03
0.96,0.07,0,0,1.03
0.38,0.12,0.51,0.02,1.03
0.61,0.32,0,0.1,1.03
0.23,0.71,0,0.09,1.03
0.16,0.57,0,0.29,1.02
0.32,0.59,0.01,0.11,1.02
0.67,0.26,0,0.09,1.02
0.93,0.01,0,0.08,1.02
0.32,0.36,0.26,0.09,1.02
0.73,0.26,0.01,0.03,1.02
0.86,0.06,0,0.11,1.02
0.87,0.05,0.02,0.08,1.02
0.56,0.32,0.01,0.14,1.02
0.39,0.12,0.49,0.02,1.02
0.57,0.39,0,0.07,1.02
0.64,0.28,0,0.1,1.02
0.25,0.65,0,0.12,1.02
0.62,0.31,0,0.09,1.02
0.51,0.4,0,0.11,1.02
0.61,0.32,0.01,0.08,1.02
0.43,0.42,0,0.17,1.02
0.97,0.03,0,0.03,1.02
0.44,0.47,0.01,0.09,1.02
0.93,0.01,0,0.08,1.02
0.5,0.39,0,0.13,1.02
0.56,0.05,0.37,0.04,1.02
0.51,0.4,0,0.11,1.01
0.56,0.38,0,0.07,1.01
0.44,0.46,0,0.11,1.01
0.56,0.34,0.02,0.09,1.01
0.69,0.04,0.22,0.06,1.01
0.45,0.46,0,0.11,1.01
0.87,0.12,0,0.02,1.01
0,0.93,0,0.08,1.01
0.33,0.45,0.01,0.22,1.01
0.65,0.22,0.05,0.1,1.01
0.58,0.34,0,0.09,1.01
0.22,0.64,0,0.16,1.01
0,0,1.01,0,1.01
0.54,0.34,0.02,0.1,1.01
0.12,0.08,0.74,0.07,1.01
0.52,0.36,0.05,0.08,1.01
0.5,0.26,0.17,0.08,1.01
0.49,0.38,0,0.13,1
0.29,0.19,0.46,0.07,1
0.93,0,0,0.07,1
0.41,0.35,0.03,0.21,1
0.3,0.24,0.38,0.08,1
0.65,0.14,0.21,0,1
0.63,0.25,0.09,0.03,1
0.65,0.15,0.19,0.01,1
0.41,0.1,0.47,0.02,1
0,0,1,0,1
0.78,0.18,0.03,0,1
0.13,0.76,0.03,0.09,1
0.08,0.9,0.02,0,1
0.56,0.38,0,0.07,1
0.56,0.38,0,0.07,1
0.55,0.38,0,0.07,1
0.13,0.1,0.74,0.03,1
0.33,0.49,0.01,0.17,1
0.55,0.38,0,0.07,1
0.74,0.21,0,0.04,0.99
0.72,0.17,0,0.1,0.99
0.94,0,0,0.06,0.99
0.77,0.2,0,0.03,0.99
0.72,0.2,0,0.08,0.99
0.48,0.06,0.41,0.05,0.99
0.49,0.33,0.02,0.15,0.99
0.55,0.38,0,0.06,0.99
0.3,0.23,0.38,0.08,0.99
0.27,0.52,0,0.19,0.99
0.73,0.15,0,0.11,0.99
0.76,0.2,0,0.03,0.99
0.35,0.52,0.04,0.08,0.99
0.28,0.04,0.64,0.03,0.99
0.37,0.3,0.12,0.19,0.99
0.64,0.27,0,0.09,0.99
0.61,0.29,0,0.09,0.99
0.16,0.78,0,0.04,0.99
0.52,0.27,0,0.19,0.98
0.02,0.53,0.19,0.25,0.98
0.58,0.31,0,0.1,0.98
0.37,0.32,0.15,0.14,0.98
0.23,0.64,0,0.11,0.98
0.28,0.18,0.45,0.07,0.98
0.02,0.88,0,0.08,0.98
0.5,0.19,0.28,0.02,0.98
0.62,0.13,0.21,0.02,0.98
0.86,0.03,0.01,0.08,0.98
0.94,0.04,0,0.01,0.98
0.38,0.5,0,0.11,0.98
0.91,0.06,0,0.01,0.98
0.64,0.26,0,0.08,0.98
0.29,0.23,0.38,0.08,0.98
0.53,0.24,0.05,0.16,0.98
0.57,0.32,0.01,0.08,0.98
0.88,0,0,0.1,0.98
0.88,0.02,0,0.08,0.97
0.73,0.21,0,0.03,0.97
0.85,0.02,0,0.1,0.97
0,0.93,0,0.04,0.97
0.89,0,0,0.08,0.97
0.49,0.18,0.29,0.01,0.97
0.62,0.26,0,0.09,0.97
0.49,0.32,0,0.16,0.97
0.09,0.01,0.86,0.01,0.97
0.47,0.37,0,0.12,0.97
0.78,0.03,0.03,0.13,0.97
0.53,0.35,0,0.09,0.97
0.86,0.04,0,0.06,0.97
0.33,0.6,0,0.04,0.97
0.4,0.44,0,0.12,0.97
0.85,0.04,0,0.07,0.97
0.59,0.29,0,0.09,0.97
0,0,0.97,0,0.97
0.53,0.34,0,0.1,0.97
0.9,0.05,0,0.01,0.97
0.51,0.37,0,0.09,0.97
0.75,0.19,0,0.03,0.97
0.54,0.37,0,0.06,0.97
0.38,0.25,0.26,0.07,0.96
0.22,0.62,0,0.12,0.96
0.36,0.41,0.05,0.15,0.96
0.44,0.36,0,0.16,0.96
0,0,0.96,0,0.96
0.54,0.36,0,0.06,0.96
0,0,0.9,0.06,0.96
0.72,0.22,0,0.02,0.96
0.32,0.06,0.57,0.01,0.96
0.47,0.37,0,0.12,0.96
0,0.81,0,0.15,0.96
0.47,0.4,0,0.09,0.96
0.49,0.37,0,0.1,0.96
0,0,0.96,0,0.96
0.36,0.28,0.22,0.09,0.96
0.77,0.15,0,0.04,0.96
0.25,0.56,0,0.14,0.96
0.38,0.38,0.06,0.14,0.96
0.88,0.04,0,0.04,0.95
0.3,0.43,0,0.22,0.95
0.26,0.29,0.34,0.05,0.95
0.4,0.36,0.13,0.07,0.95
0.47,0.36,0,0.12,0.95
0.8,0.03,0,0.13,0.95
0.3,0.54,0,0.11,0.95
0.36,0.45,0,0.14,0.95
0.54,0.32,0,0.09,0.95
0.74,0.19,0,0.03,0.95
0.46,0.33,0,0.16,0.95
0.5,0.27,0.04,0.15,0.95
0.84,0.04,0,0.07,0.95
0.67,0.21,0,0.07,0.95
0.39,0,0.53,0.03,0.95
0.03,0.41,0.51,0,0.95
0.15,0.13,0.63,0.05,0.95
0.26,0.17,0.46,0.06,0.95
0.41,0.32,0.09,0.12,0.95
0.27,0.21,0.41,0.07,0.95
0.24,0.52,0.01,0.18,0.95
0.68,0.25,0,0.02,0.95
0.53,0.36,0,0.06,0.95
0.65,0.22,0,0.09,0.95
0.62,0.24,0,0.09,0.95
0.36,0.43,0,0.16,0.95
0.41,0.46,0,0.08,0.95
0.41,0.46,0,0.08,0.95
0.29,0.33,0.2,0.13,0.95
0.36,0.43,0,0.16,0.95
0.79,0.05,0,0.1,0.94
0.79,0.03,0,0.13,0.94
0.01,0.71,0.01,0.21,0.94
0.54,0.32,0,0.08,0.94
0.73,0.19,0,0.03,0.94
0.48,0.27,0.13,0.06,0.94
0.52,0.36,0,0.06,0.94
0.46,0.36,0,0.12,0.94
0.69,0.16,0,0.09,0.94
0.34,0.39,0.06,0.15,0.94
0.78,0.03,0,0.13,0.94
0.39,0.39,0,0.16,0.94
0.7,0.2,0,0.03,0.94
0.1,0.07,0.71,0.06,0.94
0.19,0.06,0.63,0.05,0.94
0.51,0.3,0.01,0.12,0.94
0.87,0,0,0.07,0.94
0.54,0.27,0,0.13,0.94
0.69,0.17,0,0.08,0.94
0.52,0.35,0,0.06,0.94
0.75,0.03,0.04,0.12,0.94
0.23,0.53,0.04,0.14,0.94
0.57,0.33,0,0.04,0.94
0.46,0.36,0,0.12,0.94
0.78,0.03,0,0.13,0.94
0.46,0.36,0,0.12,0.93
0.32,0.32,0.15,0.15,0.93
0.29,0.49,0,0.15,0.93
0.81,0.05,0,0.07,0.93
0.67,0.25,0,0.02,0.93
0.59,0.3,0,0.04,0.93
0.56,0.28,0,0.09,0.93
0.33,0.16,0.36,0.08,0.93
0.27,0.5,0,0.16,0.93
0.67,0.25,0,0.02,0.93
0.87,0.05,0,0.01,0.93
0.28,0.14,0.47,0.04,0.93
0.71,0.2,0,0.01,0.93
0.45,0.06,0.42,0,0.93
0.51,0.09,0.32,0.01,0.93
0.4,0.43,0,0.1,0.93
0.67,0.25,0,0.02,0.93
0.51,0.25,0.09,0.08,0.93
0.77,0.03,0,0.13,0.93
0.72,0.19,0,0.03,0.93
0.85,0.01,0,0.07,0.93
0.53,0.09,0.27,0.05,0.93
0.36,0.45,0.02,0.1,0.93
0,0,0.93,0,0.93
0.37,0.4,0,0.15,0.93
0.87,0,0,0.06,0.93
0.52,0.35,0,0.06,0.93
0.44,0.34,0,0.15,0.93
0.33,0.43,0.02,0.15,0.93
0.28,0.53,0,0.12,0.93
0.42,0.41,0,0.1,0.93
0.45,0.35,0,0.12,0.92
0.17,0.2,0.53,0.03,0.92
0.45,0.35,0,0.12,0.92
0.86,0,0,0.06,0.92
0.51,0.35,0,0.06,0.92
0.83,0.03,0,0.07,0.92
0.69,0.16,0,0.07,0.92
0.44,0.05,0.39,0.05,0.92
0.68,0.08,0,0.17,0.92
0.43,0.34,0,0.16,0.92
0.58,0.26,0,0.09,0.92
0.51,0.35,0,0.06,0.92
0.51,0.35,0,0.06,0.92
0.39,0.09,0.43,0.01,0.92
0.63,0.27,0,0.02,0.92
0.86,0,0,0.06,0.92
0.55,0.21,0,0.16,0.92
0.63,0.2,0.02,0.07,0.92
0.23,0.42,0.18,0.09,0.92
0.58,0.26,0,0.08,0.92
0.71,0.18,0,0.03,0.92
0.45,0.35,0,0.12,0.92
0.12,0.08,0.66,0.06,0.92
0.3,0.32,0.21,0.08,0.92
0.16,0.57,0,0.19,0.91
0.41,0.17,0.3,0.05,0.91
0.5,0.32,0,0.09,0.91
0.45,0.35,0,0.12,0.91
0.28,0.51,0.02,0.11,0.91
0.52,0.27,0,0.12,0.91
0.76,0.09,0,0.06,0.91
0.45,0.35,0,0.12,0.91
0.46,0.3,0,0.16,0.91
0.58,0.24,0.01,0.09,0.91
0.36,0.41,0,0.15,0.91
0.35,0.27,0.21,0.09,0.91
0.43,0.25,0.16,0.07,0.91
0.01,0.83,0,0.07,0.91
0.72,0.17,0,0.01,0.91
0.02,0.8,0.02,0.07,0.91
0.25,0.13,0.46,0.06,0.91
0.7,0.11,0,0.09,0.91
0.77,0.11,0,0.04,0.91
0.35,0.41,0.02,0.14,0.91
0.48,0.32,0.02,0.09,0.91
0.84,0,0,0.07,0.91
0,0,0.91,0,0.91
0.61,0.26,0,0.04,0.91
0.23,0.46,0.05,0.17,0.91
0.44,0.35,0,0.12,0.9
0.45,0.26,0.11,0.08,0.9
0.4,0.28,0.08,0.14,0.9
0.44,0.39,0,0.08,0.9
0,0,0.9,0,0.9
0.44,0.35,0,0.12,0.9
0.68,0.15,0,0.08,0.9
0.75,0.03,0,0.12,0.9
0.51,0.31,0.01,0.08,0.9
0.45,0.37,0,0.08,0.9
0.48,0.32,0.02,0.08,0.9
0.32,0.39,0.04,0.15,0.9
0.5,0.34,0,0.06,0.9
0.32,0.42,0.02,0.14,0.9
0.32,0.42,0,0.16,0.9
0.32,0.51,0,0.07,0.9
0.5,0.34,0,0.06,0.9
0.17,0.13,0.55,0.05,0.9
0.52,0.25,0,0.12,0.9
0.63,0.13,0,0.15,0.9
0.41,0.43,0.01,0.05,0.9
0.84,0.05,0,0.01,0.9
0.74,0.03,0.01,0.12,0.9
0.65,0.22,0,0.03,0.9
0.34,0.46,0,0.1,0.9
0.42,0.36,0.04,0.07,0.9
0.42,0.34,0,0.14,0.9
0.54,0.27,0,0.08,0.9
0.62,0.24,0,0.04,0.9
0.81,0.05,0,0.04,0.9
0.44,0.34,0,0.11,0.9
0.48,0.34,0,0.07,0.9
0.62,0.24,0,0.03,0.89
0.74,0.03,0,0.12,0.89
0.73,0.1,0,0.06,0.89
0.6,0.22,0.05,0.02,0.89
0.66,0.11,0.04,0.08,0.89
0.74,0.03,0,0.12,0.89
0.17,0.62,0,0.1,0.89
0.46,0.17,0.24,0.02,0.89
0.42,0.16,0.3,0.02,0.89
0.43,0.37,0,0.09,0.89
0.3,0.49,0,0.1,0.89
0,0,0.89,0,0.89
0.72,0,0,0.17,0.89
0.44,0.27,0,0.18,0.89
0.69,0.18,0,0.02,0.89
0.48,0.33,0,0.08,0.89
0.16,0.11,0.56,0.06,0.89
0.44,0.34,0,0.11,0.89
0.42,0.33,0,0.14,0.89
0.38,0.29,0.15,0.08,0.89
0.27,0.35,0.05,0.21,0.89
0.56,0.25,0,0.08,0.89
0.52,0.25,0,0.11,0.89
0.36,0.43,0,0.1,0.89
0.49,0.34,0,0.06,0.89
0.6,0.18,0,0.11,0.89
0.28,0.51,0,0.09,0.89
0,0.68,0,0.2,0.89
0.47,0.29,0,0.13,0.89
0,0,0.89,0,0.89
0.83,0,0,0.06,0.89
0.28,0.47,0,0.13,0.89
0.82,0,0,0.07,0.89
0.41,0.37,0.01,0.09,0.88
0.44,0.3,0.09,0.06,0.88
0.38,0.36,0,0.15,0.88
0.01,0.79,0,0.09,0.88
0.27,0.46,0,0.15,0.88
0.18,0.59,0.01,0.1,0.88
0.35,0.37,0.01,0.15,0.88
0.48,0.33,0,0.08,0.88
0.11,0,0.77,0.01,0.88
0.43,0.34,0,0.11,0.88
0.21,0.12,0.46,0.08,0.88
0.32,0.06,0,0.5,0.88
0.49,0.33,0,0.06,0.88
0.8,0,0.01,0.07,0.88
0.47,0.33,0,0.08,0.88
0.3,0.22,0.3,0.05,0.88
0.5,0.29,0.01,0.08,0.88
0.5,0.28,0,0.09,0.88
0.01,0.79,0,0.07,0.88
0.73,0.09,0,0.06,0.88
0.44,0.35,0,0.08,0.88
0.43,0.33,0,0.11,0.88
0.38,0.33,0.03,0.14,0.88
0.65,0.19,0,0.03,0.87
0.8,0,0,0.07,0.87
0.49,0.33,0,0.06,0.87
0.49,0.33,0,0.06,0.87
0.15,0.62,0,0.11,0.87
0,0,0.87,0,0.87
0.61,0.24,0,0.03,0.87
0.38,0.4,0.01,0.08,0.87
0.55,0.24,0.01,0.07,0.87
0.32,0.26,0.12,0.17,0.87
0.43,0.29,0.09,0.06,0.87
0,0,0.87,0,0.87
0.73,0.03,0,0.12,0.87
0.08,0.11,0.62,0.06,0.87
0,0.81,0,0.06,0.87
0.62,0.18,0,0.07,0.87
0.48,0.33,0,0.06,0.87
0.42,0.3,0.01,0.15,0.87
0.72,0.03,0,0.12,0.87
0.48,0.33,0,0.06,0.87
0.33,0.44,0.01,0.09,0.87
0.38,0.4,0,0.09,0.87
0.2,0.44,0,0.23,0.87
0.48,0.29,0.01,0.09,0.87
0.72,0.03,0,0.12,0.87
0.48,0.37,0,0.02,0.87
0.47,0.32,0,0.08,0.87
0.43,0.33,0,0.11,0.87
0.51,0.27,0.01,0.08,0.87
0.47,0.3,0,0.09,0.87
0.3,0.2,0.3,0.06,0.87
0.11,0.09,0.64,0.03,0.87
0.81,0.05,0,0.01,0.87
0.26,0.42,0.03,0.16,0.87
0.29,0.39,0.02,0.16,0.87
0.1,0.59,0,0.18,0.87
0.59,0.2,0,0.08,0.86
0.59,0.2,0,0.07,0.86
0,0,0.86,0,0.86
0.14,0.54,0.01,0.18,0.86
0.34,0.38,0,0.14,0.86
0.46,0.21,0.12,0.06,0.86
0.01,0.72,0.12,0.01,0.86
0.42,0.33,0,0.11,0.86
0.48,0.33,0,0.06,0.86
0.81,0.04,0,0.01,0.86
0.47,0.31,0,0.08,0.86
0.48,0.32,0,0.06,0.86
0.12,0.51,0,0.23,0.86
0.17,0.13,0.51,0.04,0.86
0.6,0.19,0,0.07,0.85
0.47,0.32,0,0.06,0.85
0.1,0.65,0,0.11,0.85
0.32,0.42,0.02,0.09,0.85
0.12,0.62,0,0.11,0.85
0.79,0,0,0.07,0.85
0.14,0.09,0.57,0.06,0.85
0.64,0.18,0,0.03,0.85
0.4,0.07,0.37,0.01,0.85
0.35,0.36,0,0.14,0.85
0.37,0.29,0.09,0.11,0.85
0.47,0.32,0,0.06,0.85
0.22,0.33,0.18,0.12,0.85
0.69,0.1,0,0.06,0.85
0.28,0.31,0.13,0.13,0.85
0.52,0.16,0.08,0.1,0.85
0.31,0,0,0.53,0.85
0.47,0.32,0,0.06,0.85
0.42,0.32,0,0.11,0.85
0.35,0.23,0.21,0.05,0.85
0.32,0.25,0.2,0.08,0.85
0.6,0,0.2,0.05,0.85
0.79,0,0,0.06,0.85
0.44,0.3,0.02,0.09,0.85
0.44,0.27,0.01,0.12,0.85
0.35,0.35,0.01,0.14,0.84
0.65,0.17,0,0.02,0.84
0.52,0.24,0,0.08,0.84
0.2,0.12,0.45,0.07,0.84
0.34,0.36,0,0.14,0.84
0.65,0.17,0,0.02,0.84
0.36,0.28,0.14,0.06,0.84
0.75,0.01,0.01,0.07,0.84
0.46,0.3,0,0.09,0.84
0.41,0.32,0,0.11,0.84
0.32,0,0.52,0,0.84
0.46,0.25,0.01,0.12,0.84
0.47,0.32,0,0.05,0.84
0.41,0.32,0,0.11,0.84
0.26,0.34,0.13,0.12,0.84
0.24,0.16,0.39,0.05,0.84
0.41,0.32,0,0.11,0.84
0.75,0,0,0.09,0.84
0.28,0.46,0,0.1,0.84
0.46,0.28,0.02,0.07,0.84
0.6,0.22,0,0.01,0.84
0.09,0,0,0.74,0.84
0.7,0.05,0,0.08,0.84
0.46,0.32,0,0.05,0.84
0.74,0.04,0,0.06,0.83
0.76,0.01,0,0.06,0.83
0.22,0.15,0.4,0.05,0.83
0.24,0.19,0.34,0.06,0.83
0.77,0.03,0,0.04,0.83
0.32,0.32,0.05,0.14,0.83
0.52,0.25,0,0.07,0.83
0.6,0.22,0,0.01,0.83
0.27,0.21,0.28,0.07,0.83
0.78,0,0,0.05,0.83
0.62,0.18,0.01,0.03,0.83
0.37,0.33,0,0.13,0.83
0,0,0.83,0,0.83
0.44,0.31,0,0.08,0.83
0.46,0.31,0,0.05,0.83
0.39,0.26,0.12,0.05,0.83
0.69,0.03,0,0.11,0.83
0.41,0.32,0,0.11,0.83
0.45,0.3,0,0.08,0.83
0.42,0.21,0.1,0.09,0.83
0.46,0.31,0,0.05,0.83
0.46,0.31,0,0.05,0.83
0.58,0.17,0,0.07,0.83
0.43,0.19,0.14,0.06,0.83
0.4,0.26,0.05,0.11,0.83
0.55,0.2,0,0.08,0.82
0.73,0,0,0.1,0.82
0.6,0.16,0,0.07,0.82
0.58,0.22,0,0.03,0.82
0.64,0.17,0,0.02,0.82
0.69,0.03,0,0.11,0.82
0.64,0.12,0,0.06,0.82
0.67,0.03,0.06,0.05,0.82
0.46,0.21,0,0.15,0.82
0.68,0.11,0,0.03,0.82
0.61,0.19,0,0.01,0.82
0.42,0.1,0.28,0.02,0.82
0.51,0.24,0,0.07,0.82
0.76,0,0,0.06,0.82
0.69,0.11,0,0.02,0.82
0.76,0,0,0.06,0.82
0.76,0.05,0,0.01,0.82
0.4,0.33,0.01,0.09,0.82
0.4,0.31,0,0.1,0.82
0.34,0.04,0.36,0.08,0.82
0.42,0.19,0.11,0.09,0.82
0.28,0.38,0.03,0.13,0.82
0.25,0.42,0.01,0.13,0.82
0,0,0.81,0,0.81
0.4,0.31,0,0.1,0.81
0.57,0.18,0,0.06,0.81
0,0,0.81,0,0.81
0.4,0.33,0,0.09,0.81
0.06,0.04,0.66,0.05,0.81
0,0,0.81,0,0.81
0.45,0.31,0,0.05,0.81
0.67,0.07,0,0.08,0.81
0.63,0.16,0,0.02,0.81
0,0,0.76,0.05,0.81
0.19,0.41,0,0.22,0.81
0.07,0.05,0.63,0.05,0.81
0.48,0.25,0,0.08,0.81
0.33,0.25,0.07,0.16,0.81
0,0,0.81,0,0.81
0.45,0.08,0.27,0.01,0.81
0.68,0.12,0,0.01,0.81
0.12,0.58,0.03,0.08,0.81
0.4,0.31,0,0.1,0.81
0.67,0.05,0,0.08,0.81
0.75,0,0,0.06,0.81
0,0,0.81,0,0.81
0.45,0.31,0,0.05,0.81
0.33,0.34,0,0.13,0.81
0.37,0.35,0,0.09,0.81
0,0,0.75,0.05,0.81
0.35,0.27,0.09,0.09,0.81
0.67,0.03,0,0.11,0.81
0.42,0.18,0.11,0.09,0.81
0.29,0.39,0,0.12,0.81
0.45,0.3,0,0.05,0.8
0.03,0.02,0.74,0.01,0.8
0.72,0.03,0,0.06,0.8
0.62,0.16,0,0.02,0.8
0.45,0.3,0,0.05,0.8
0.39,0.31,0,0.1,0.8
0.2,0.26,0.3,0.04,0.8
0.52,0.21,0,0.07,0.8
0.45,0.3,0,0.05,0.8
0.32,0.39,0,0.09,0.8
0.48,0.28,0,0.04,0.8
0.31,0.33,0.09,0.07,0.8
0.2,0.39,0.04,0.17,0.8
0.09,0.33,0.2,0.18,0.8
0.52,0.2,0,0.07,0.8
0.16,0.24,0.28,0.12,0.8
0,0,0.75,0.05,0.8
0.68,0.09,0,0.02,0.8
0.04,0.33,0.26,0.17,0.8
0.46,0.27,0,0.07,0.8
0,0,0.8,0,0.8
0,0,0.8,0,0.8
0.73,0.01,0,0.06,0.8
0.19,0.38,0,0.22,0.79
0.74,0.04,0,0.01,0.79
0.66,0.02,0,0.11,0.79
0.61,0,0,0.18,0.79
0.43,0.29,0,0.07,0.79
0,0,0.74,0.05,0.79
0.05,0.3,0.29,0.16,0.79
0.61,0.16,0,0.02,0.79
0.43,0.29,0,0.08,0.79
0,0,0.74,0.05,0.79
0.24,0.26,0.19,0.1,0.79
0.44,0.3,0,0.05,0.79
0.75,0,0,0.05,0.79
0.45,0.27,0,0.07,0.79
0.37,0.35,0.01,0.07,0.79
0.48,0.24,0,0.07,0.79
0.39,0.07,0.32,0.01,0.79
0.63,0.15,0,0.01,0.79
0.64,0.03,0.02,0.1,0.79
0.28,0.22,0.23,0.07,0.79
0,0,0.79,0,0.79
0.47,0.23,0.01,0.08,0.79
0.42,0.23,0.07,0.06,0.79
0.13,0.42,0.13,0.1,0.79
0.31,0.35,0,0.13,0.79
0.75,0.03,0,0.01,0.79
0.49,0.22,0.01,0.07,0.79
0.51,0.21,0,0.07,0.79
0.65,0.03,0,0.11,0.79
0.24,0.49,0,0.05,0.79
0.08,0.46,0,0.25,0.79
0.32,0.2,0.21,0.06,0.79
0.27,0.34,0.04,0.13,0.79
0.17,0.5,0,0.11,0.79
0.35,0.37,0,0.06,0.78
0.02,0.77,0,0,0.78
0.36,0.29,0,0.13,0.78
0.38,0.29,0.03,0.08,0.78
0.73,0.04,0,0.01,0.78
0.42,0.25,0,0.11,0.78
0.56,0.21,0,0.01,0.78
0.43,0.3,0,0.05,0.78
0.67,0.04,0.01,0.06,0.78
0.17,0,0,0.61,0.78
0.43,0.27,0.01,0.07,0.78
0.51,0.09,0.13,0.05,0.78
0.4,0.31,0,0.07,0.78
0.43,0.3,0,0.05,0.78
0.44,0.26,0.01,0.07,0.78
0.57,0.06,0,0.14,0.78
0.43,0.29,0,0.05,0.78
0.61,0.11,0,0.06,0.78
0.49,0.04,0.21,0.04,0.78
0.71,0.01,0,0.06,0.78
0.49,0.19,0.01,0.09,0.78
0.65,0.02,0,0.11,0.78
0,0,0.78,0,0.78
0.72,0.05,0,0.01,0.78
0.6,0.16,0,0.02,0.78
0.37,0.22,0.13,0.06,0.78
0.33,0.33,0,0.12,0.78
0.43,0.29,0,0.05,0.78
0.38,0.32,0,0.08,0.78
0.72,0.05,0,0.01,0.77
0.36,0.34,0,0.07,0.77
0.12,0.56,0,0.1,0.77
0.43,0.29,0,0.05,0.77
0.43,0.29,0,0.05,0.77
0.72,0.04,0,0.01,0.77
0.45,0.23,0.02,0.07,0.77
